source	target	interaction	symmetry	weight	negation
at1g24650	at4g34440	ppi	symmetrical	1.0	affirmative
at4g26090	at5g51450	ppi	symmetrical	1.0	affirmative
at1g19350	at5g10450	ppi	symmetrical	1.0	affirmative
at1g15750	at4g28640	ppi	symmetrical	1.0	affirmative
at2g20180	at1g69530	inhibition	asymmetrical	1.0	affirmative
at4g26090	at4g30120	ppi	symmetrical	1.0	affirmative
at4g28640	at5g01820	ppi	symmetrical	1.0	affirmative
at4g25660	at5g07110	ppi	symmetrical	0.0	affirmative
at1g78300	at4g34460	ppi	symmetrical	1.0	affirmative
at1g80865	at5g11870	ppi	symmetrical	1.0	affirmative
at4g20790	at4g27420	ppi	symmetrical	1.0	affirmative
at1g01010	at1g02790	ppi	symmetrical	1.0	affirmative
at5g61850	at3g61250	positive_regulation	asymmetrical	1.0	affirmative
at1g04820	at2g41620	ppi	symmetrical	1.0	affirmative
at4g04570	at4g23190	ppi	symmetrical	1.7349421465	affirmative
at4g28640	at5g35410	ppi	symmetrical	1.0	affirmative
at3g55130	at4g19700	ppi	symmetrical	0.0	affirmative
at5g19010	at1g79020	phosphorylation	asymmetrical	1.0	affirmative
at2g41400	at2g45200	ppi	symmetrical	1.0	affirmative
at3g12180	at3g53510	ppi	symmetrical	1.0	affirmative
at4g14455	at5g07475	ppi	symmetrical	1.0	affirmative
at3g25805	at4g32650	ppi	symmetrical	1.0	affirmative
at1g32640	at4g14880	ppi	symmetrical	1.0	affirmative
at2g24230	at3g10640	ppi	symmetrical	1.0	affirmative
at1g13140	at1g17280	ppi	symmetrical	1.0	affirmative
at2g35520	at4g36830	ppi	symmetrical	0.0	affirmative
at2g46870	at3g27960	ppi	symmetrical	0.7974683411329848	affirmative
at1g31870	at2g23420	ppi	symmetrical	1.0	affirmative
at1g71330	at2g22425	ppi	symmetrical	1.0	affirmative
at2g37050	at5g51560	ppi	symmetrical	1.0	affirmative
at1g59580	at4g34990	phosphorylation	asymmetrical	1.0	affirmative
at1g13580	at4g20790	ppi	symmetrical	1.0	affirmative
at2g20180	at3g61150	positive_regulation	asymmetrical	1.0	affirmative
at4g30850	at5g11870	ppi	symmetrical	1.0	affirmative
at2g43790	at1g37130	phosphorylation	asymmetrical	1.0	affirmative
at1g71830	at4g38830	ppi	symmetrical	1.0	affirmative
at1g71050	at3g49160	ppi	symmetrical	1.0	affirmative
at2g41705	at3g42640	ppi	symmetrical	1.0	affirmative
at1g07860	at2g38510	ppi	symmetrical	1.0	affirmative
at5g11260	at2g41100	positive_regulation	asymmetrical	2.619648519	affirmative
at5g06100	at5g49130	ppi	symmetrical	1.0	affirmative
at1g18040	at1g80370	ppi	symmetrical	1.0	affirmative
at1g12680	at2g41090	ppi	symmetrical	1.3502549295	affirmative
at1g29060	at5g16150	ppi	symmetrical	1.0	affirmative
at1g01790	at1g17280	ppi	symmetrical	1.0	affirmative
at2g41820	at4g20790	ppi	symmetrical	1.0	affirmative
at3g11810	at5g45770	ppi	symmetrical	1.0	affirmative
at1g01440	at3g49580	ppi	symmetrical	1.0	affirmative
at3g60220	at4g32000	ppi	symmetrical	0.0	affirmative
at1g29060	at4g20140	ppi	symmetrical	1.0	affirmative
at1g27290	at4g39030	ppi	symmetrical	1.0	affirmative
at1g71940	at1g76185	ppi	symmetrical	1.0	affirmative
at3g48150	at4g21530	ppi	symmetrical	1.0	affirmative
at3g18250	at5g51160	ppi	symmetrical	1.0	affirmative
at1g78770	at4g33270	ppi	symmetrical	1.0	affirmative
at2g35520	at5g20270	ppi	symmetrical	1.0	affirmative
at2g26180	at4g20790	ppi	symmetrical	1.0	affirmative
at1g58340	at5g49540	ppi	symmetrical	1.0	affirmative
at1g07860	at5g03180	ppi	symmetrical	1.0	affirmative
at1g21240	at4g20790	ppi	symmetrical	1.0	affirmative
at3g25805	at4g04860	ppi	symmetrical	1.0	affirmative
at2g01760	at4g16110	ppi	symmetrical	1.0	affirmative
at1g34640	at2g40460	ppi	symmetrical	0.7364582070788375	affirmative
at5g13790	at4g24670	positive_regulation	asymmetrical	1.172090632	affirmative
at1g29120	at2g16900	ppi	symmetrical	1.0	affirmative
at1g03040	at3g01435	ppi	symmetrical	1.0	affirmative
at3g63310	at4g20790	ppi	symmetrical	1.0	affirmative
at1g57680	at3g18800	ppi	symmetrical	1.0	affirmative
at1g44110	at4g11920	ppi	symmetrical	1.0	affirmative
at2g29400	at3g51180	ppi	symmetrical	1.0	affirmative
at3g08040	at3g21090	ppi	symmetrical	1.0	affirmative
at1g21240	at2g35910	ppi	symmetrical	1.0	affirmative
at4g14455	at5g61630	ppi	symmetrical	1.0	affirmative
at1g30400	at3g54010	ppi	symmetrical	1.0	affirmative
at1g78490	at5g47180	ppi	symmetrical	1.0	affirmative
at1g66340	at3g26370	ppi	symmetrical	1.0	affirmative
at3g56950	at4g37680	ppi	symmetrical	1.0	affirmative
at4g30960	at2g47800	regulation	asymmetrical	1.0	affirmative
at1g42560	at4g14455	ppi	symmetrical	1.0	affirmative
at3g26090	at3g49290	ppi	symmetrical	1.2545007595	affirmative
at1g17280	at4g22830	ppi	symmetrical	1.0	affirmative
